,AAPL,AMZN,ATT,AUD,BOND,EUR,GE,GOLD,INTC,SILVER,SPY
1999-12-31,0.917969,3.80625,36.820244,0.6567,798.1546313,1.0062,396.794861,288.0,41.15625,5.38,146.875
2000-01-03,0.999442,4.46875,35.498489,0.6585,793.8686699,1.0243,384.615387,289.0,43.5,5.405,145.4375
2000-01-04,0.915179,4.096875,33.421452,0.655,796.7616773,1.0296,369.230774,282.25,41.46875,5.325,139.75
2000-01-05,0.928571,3.4875,33.940708,0.6579,793.1182149,1.0321,368.589752,280.0,41.8125,5.145,140.0
2000-01-06,0.848214,3.278125,33.043808,0.6533,795.091984,1.0328,373.517639,281.1,39.375,5.12,137.75
2000-01-07,0.888393,3.478125,33.327038,0.6549,797.1321442,1.0295,387.980774,281.75,41.0,5.175,145.75
2000-01-10,0.872768,3.459375,33.799095,0.6561,795.7857158,1.0256,387.820526,281.48,42.875,5.145,146.25
2000-01-11,0.828125,3.3375,33.327038,0.6578,791.97224,1.0336,388.461548,283.25,44.84375,5.16,144.5
2000-01-12,0.77846,3.178125,31.580439,0.6587,790.8372583,1.0309,389.743591,282.35,45.625,5.105,143.0625
2000-01-13,0.863839,3.296875,30.825151,0.6679,794.3013796,1.0258,394.230774,284.25,45.53125,5.11,145.0
2000-01-14,0.896763,3.2125,31.722054,0.6657,792.9178094,1.0122,387.179474,284.2,51.53125,5.125,146.96875
2000-01-18,0.928013,3.20625,31.061178,0.6654,790.8846556,1.0137,379.487183,288.65,51.0625,5.12,145.8125
2000-01-19,0.951451,3.340625,30.63633,0.6638,791.843358,1.0133,381.330139,289.63,50.03125,5.13,147.0
2000-01-20,1.013393,3.2375,30.966766,0.6658,790.642228,1.0168,374.19873,288.5,47.8125,5.21,144.75
2000-01-21,0.993862,3.103125,32.477341,0.6629,791.22805,1.0098,369.55127,289.1,48.96875,5.21,144.4375
2000-01-24,0.948661,3.50625,31.722054,0.6543,794.641324,1.0072,354.166656,287.6,49.40625,5.24,140.34375
2000-01-25,1.002232,3.4625,30.211479,0.6554,794.767914,1.0009,355.128204,287.05,50.78125,5.26,141.9375
2000-01-26,0.983817,3.240625,30.211479,0.6523,795.4197089,1.0019,362.660248,286.0,48.25,5.22,140.8125
2000-01-27,0.982143,3.346875,29.456194,0.6541,795.6798044,0.9882,363.461548,286.85,49.0625,5.35,140.25
2000-01-28,0.907366,3.084375,29.645016,0.635,795.9780003,0.9747,343.589752,283.25,47.0,5.26,135.875
2000-01-31,0.926339,3.228125,32.382931,0.637,793.2977215,0.9707,343.589752,283.5,49.46875,5.245,139.5625
2000-02-01,0.895089,3.371875,32.005287,0.6324,794.9323993,0.9711,348.717957,282.63,50.71875,5.195,140.9375
2000-02-02,0.882254,3.471875,32.099697,0.6389,795.2496135,0.9765,343.75,284.75,50.03125,5.18,141.0625
2000-02-03,0.922433,4.209375,31.722054,0.6348,798.6774241,0.9894,357.05127,287.45,52.09375,5.23,143.1875
2000-02-04,0.964286,3.928125,31.722054,0.638,796.4561668,0.9832,362.980774,310.3,52.375,5.285,142.59375
